question_no,question_label,data_column_role,vendor_variable,vendor_label
Q76_M2,오피스 공간 변화 참여 경험_긍정적 평가 이유__조직 소속감이 증진됐다,expanded,Q73[M2],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M3,오피스 공간 변화 참여 경험_긍정적 평가 이유__조직이 직원 개개인을 ‘소중히 한다/배려한다’는 생각이 들었다.,expanded,Q73[M3],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M4,오피스 공간 변화 참여 경험_긍정적 평가 이유__내가 근무하고 있는 물리적 환경에 애정 또는 주인 의식이 생겼다.,expanded,Q73[M4],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M5,오피스 공간 변화 참여 경험_긍정적 평가 이유__나의 의견이 실제 공간에 반영되면서 업무 효율에 긍정적인 영향을 주었다.,expanded,Q73[M5],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M6,오피스 공간 변화 참여 경험_긍정적 평가 이유__새로운 동료들과 새롭게 협업 해 볼 수 있었다.,expanded,Q73[M6],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M7,오피스 공간 변화 참여 경험_긍정적 평가 이유__기타 (직접 입력),expanded,Q73[M7],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q76_M7_TEXT,오피스 공간 변화 참여 경험_긍정적 평가 이유__기타_텍스트,expanded,Q73[M7],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 긍정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77,오피스 공간 변화 참여 경험_부정적 평가 이유,raw,Q74,기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M1,오피스 공간 변화 참여 경험_부정적 평가 이유__기존 업무에 무리/방해가 되었다.,expanded,Q74[M1],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M2,오피스 공간 변화 참여 경험_부정적 평가 이유__개선 목표가 불명확하고 담당 부서의 개선 의지가 안 느껴졌다.,expanded,Q74[M2],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M3,오피스 공간 변화 참여 경험_부정적 평가 이유__업무시간을 할애해 참여했지만 합당한 성과 인정이나 보상이 없었다.,expanded,Q74[M3],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M4,오피스 공간 변화 참여 경험_부정적 평가 이유__논의 과정과 의견 반영 여부에 대한 충분한 공유가 없었다.,expanded,Q74[M4],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M5,오피스 공간 변화 참여 경험_부정적 평가 이유__의견이 제대로 받아 들여지지 않았다.,expanded,Q74[M5],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M6,오피스 공간 변화 참여 경험_부정적 평가 이유__공정하지 않은 기준으로 일이 진행되었다.,expanded,Q74[M6],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M7,오피스 공간 변화 참여 경험_부정적 평가 이유__기타 (직접 입력),expanded,Q74[M7],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q77_M7_TEXT,오피스 공간 변화 참여 경험_부정적 평가 이유__기타_텍스트,expanded,Q74[M7],기업의 물리적 환경에 변화를 만들어내는 프로세스에 직접 참여하는 경험은 어떤 점에서 부정적인 경험이었다고 생각하시나요? 해당하는 것을 모두 선택해 주세요.
Q78,물리적 환경 만족도,raw,Q75,우리 회사의 직원들이 일하는 공간을 포함한 물리적 환경에 얼마만큼 만족하시나요?
Q79,사무환경 키워드 평가_자율,raw,Q77,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 구성원들이 자율적으로 공간을 선택할 수 있다.
Q80,사무환경 키워드 평가_유연,raw,Q78,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 경직되어 있지 않고 유연하다.
Q81,사무환경 키워드 평가_수평,raw,Q79,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 직급에 관계 없이 모든 공간을 평등하게 사용할 수 있다.
Q82,사무환경 키워드 평가_협력,raw,Q80,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 구성원간 커뮤니케이션을 충분히 지원해준다.
Q83,사무환경 키워드 평가_몰입,raw,Q81,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 구성원들의 업무 몰입을 돕는 환경이다.
Q84,사무환경 키워드 평가_건강,raw,Q82,다음 문장에 대해 얼마나 동의하시나요? 우리 기업의 사무환경은 구성원들의 신체적/정신적 건강을 배려한 환경이다.
Q85,조직문화 키워드 평가_자율,raw,Q83,다음 문장에 대해 얼마나 동의하시나요? 우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다.
Q86,조직문화 키워드 평가_몰입,raw,Q84,다음 문장에 대해 얼마나 동의하시나요? 우리 회사는 구성원들이 자발적 동기를 갖고 업무를 수행한다.
Q87,조직문화 키워드 평가_수평,raw,Q85,다음 문장에 대해 얼마나 동의하시나요? 우리 회사는 직급간 자유로운 의견 교류가 가능하다.
Q88,조직문화 키워드 평가_협력,raw,Q86,다음 문장에 대해 얼마나 동의하시나요? 우리 회사는 구성원들이 공동의 목표를 공유하며 협력한다.
